dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s,repeat1_WQL,repeat1_MASE,repeat2_WQL,repeat2_MASE,coe_mau_repeat1_count,coe_mau_repeat1_sum,coe_mau_repeat1_sum_sq,coe_mau_repeat1_min,coe_mau_repeat1_max,coe_mau_repeat2_count,coe_mau_repeat2_sum,coe_mau_repeat2_sum_sq,coe_mau_repeat2_min,coe_mau_repeat2_max,coe_repeat1_mauhist_under,coe_repeat1_mauhist_over,coe_repeat1_mauhist_nan,coe_repeat1_mauhist_b00,coe_repeat1_mauhist_b01,coe_repeat1_mauhist_b02,coe_repeat1_mauhist_b03,coe_repeat1_mauhist_b04,coe_repeat1_mauhist_b05,coe_repeat1_mauhist_b06,coe_repeat1_mauhist_b07,coe_repeat1_mauhist_b08,coe_repeat1_mauhist_b09,coe_repeat1_mauhist_b10,coe_repeat1_mauhist_b11,coe_repeat1_mauhist_b12,coe_repeat1_mauhist_b13,coe_repeat1_mauhist_b14,coe_repeat1_mauhist_b15,coe_repeat1_mauhist_b16,coe_repeat1_mauhist_b17,coe_repeat1_mauhist_b18,coe_repeat1_mauhist_b19,coe_repeat1_mauhist_b20,coe_repeat1_mauhist_b21,coe_repeat1_mauhist_b22,coe_repeat1_mauhist_b23,coe_repeat1_mauhist_b24,coe_repeat1_mauhist_b25,coe_repeat1_mauhist_b26,coe_repeat1_mauhist_b27,coe_repeat2_mauhist_under,coe_repeat2_mauhist_over,coe_repeat2_mauhist_nan,coe_repeat2_mauhist_b00,coe_repeat2_mauhist_b01,coe_repeat2_mauhist_b02,coe_repeat2_mauhist_b03,coe_repeat2_mauhist_b04,coe_repeat2_mauhist_b05,coe_repeat2_mauhist_b06,coe_repeat2_mauhist_b07,coe_repeat2_mauhist_b08,coe_repeat2_mauhist_b09,coe_repeat2_mauhist_b10,coe_repeat2_mauhist_b11,coe_repeat2_mauhist_b12,coe_repeat2_mauhist_b13,coe_repeat2_mauhist_b14,coe_repeat2_mauhist_b15,coe_repeat2_mauhist_b16,coe_repeat2_mauhist_b17,coe_repeat2_mauhist_b18,coe_repeat2_mauhist_b19,coe_repeat2_mauhist_b20,coe_repeat2_mauhist_b21,coe_repeat2_mauhist_b22,coe_repeat2_mauhist_b23,coe_repeat2_mauhist_b24,coe_repeat2_mauhist_b25,coe_repeat2_mauhist_b26,coe_repeat2_mauhist_b27,coe_es_0p05_depth_sum,coe_es_0p05_depth_n,coe_es_0p05_WQL,coe_es_0p05_MASE,coe_es_0p01_depth_sum,coe_es_0p01_depth_n,coe_es_0p01_WQL,coe_es_0p01_MASE,coe_es_0p001_depth_sum,coe_es_0p001_depth_n,coe_es_0p001_WQL,coe_es_0p001_MASE
H16_phihigh_rhohigh_s10,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4581379070521544,0.520155655629845,0.921875,1024,128,7.7,6.2,0.01,0.0,0.48304593046543404,0.5252419257824716,0.4581379070521544,0.520155655629845,1024,677.9464691802859,524.3604328545755,0.0971703752875328,1.5515010356903076,1024,151.14593429118395,32.538674049329416,0.025165781378746033,0.6293590068817139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,72,340,476,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,281,289,222,78,1,0,0,0,0,0,0,0,0,2048.0,1024,0.4581379070521544,0.520155655629845,2048.0,1024,0.4581379070521544,0.520155655629845,2048.0,1024,0.4581379070521544,0.520155655629845
H16_phihigh_rhohigh_s11,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4740608147331774,0.5136855149320616,0.921875,1024,128,5.6,4.84,0.01,0.0,0.5116832038721031,0.5270660208167506,0.4740608147331774,0.5136855149320616,1024,671.234806958586,520.7774401114316,0.054848406463861465,1.4668502807617188,1024,145.67273294366896,29.159458913736117,0.021755998954176903,0.621657133102417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,88,308,469,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,120,305,311,222,56,2,0,0,0,0,0,0,0,0,2048.0,1024,0.4740608147331774,0.5136855149320616,2048.0,1024,0.4740608147331774,0.5136855149320616,2048.0,1024,0.4740608147331774,0.5136855149320616
H16_phihigh_rhohigh_s12,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4564682585676017,0.5229138255787471,0.9150390625,1024,128,6.1,4.82,0.01,0.0,0.48465167387183206,0.5240060393205497,0.4564682585676017,0.5229138255787471,1024,682.7738201618195,535.5328833724047,0.05455867201089859,1.5379120111465454,1024,146.7368582971394,30.34357332691333,0.02579021453857422,0.5181753039360046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,64,321,479,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,129,301,286,229,65,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4564682585676017,0.5229138255787471,2048.0,1024,0.4564682585676017,0.5229138255787471,2048.0,1024,0.4564682585676017,0.5229138255787471
H16_phihigh_rhohigh_s13,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.45108286645214146,0.5160137559852341,0.9267578125,1024,128,6.3,4.85,0.01,0.0,0.48541332120767844,0.5252315513987481,0.45108286645214146,0.5160137559852341,1024,679.4447524175048,526.5753475287311,0.0794580802321434,1.5911264419555664,1024,149.06831420212984,30.916245645074056,0.022314200177788734,0.5388238430023193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,69,328,479,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,128,304,265,251,64,0,0,0,0,0,0,0,0,0,2048.0,1024,0.45108286645214146,0.5160137559852341,2048.0,1024,0.45108286645214146,0.5160137559852341,2048.0,1024,0.45108286645214146,0.5160137559852341
H16_phihigh_rhohigh_s14,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4481375764975437,0.5375614945507102,0.916015625,1024,128,6.8,4.82,0.01,0.0,0.48252737761018294,0.5440808631112648,0.4481375764975437,0.5375614945507102,1024,682.7971394956112,532.3026070710653,0.0894336849451065,1.5426242351531982,1024,153.6478702686727,32.404359424397974,0.024101268500089645,0.5592038035392761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,69,331,472,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,95,302,302,235,81,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4481375764975437,0.5375614945507102,2048.0,1024,0.4481375764975437,0.5375614945507102,2048.0,1024,0.4481375764975437,0.5375614945507102
H16_phihigh_rhohigh_s15,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4426573832280637,0.5150907955054929,0.927734375,1024,128,8.2,6.21,0.01,0.0,0.47967498274175013,0.5276159240344396,0.4426573832280637,0.5150907955054929,1024,670.2251358926296,515.2765438183594,0.12413746118545532,1.420829176902771,1024,152.99354777485132,32.110112868600915,0.020485570654273033,0.5996567010879517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,76,344,448,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,119,264,324,232,76,1,0,0,0,0,0,0,0,0,2048.0,1024,0.4426573832280637,0.5150907955054929,2048.0,1024,0.4426573832280637,0.5150907955054929,2048.0,1024,0.4426573832280637,0.5150907955054929
H16_phihigh_rholow_s00,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4477712227013871,0.5194502597581057,0.9287109375,1024,128,6.7,4.89,0.01,0.0,0.48031820077804066,0.5341045722352298,0.4477712227013871,0.5194502597581057,1024,689.2758786082268,546.4737414308964,0.07188593596220016,1.5050077438354492,1024,148.18650689907372,30.83481471004727,0.024353764951229095,0.5297811627388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,75,319,464,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,143,269,311,227,63,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4477712227013871,0.5194502597581057,2048.0,1024,0.4477712227013871,0.5194502597581057,2048.0,1024,0.4477712227013871,0.5194502597581057
H16_phihigh_rholow_s01,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4525053862898669,0.5293614393432129,0.9130859375,1024,128,6.8,4.88,0.01,0.0,0.481790086691976,0.5359295850218478,0.4525053862898669,0.5293614393432129,1024,677.87655775249,521.4785539385296,0.0675501674413681,1.5694630146026611,1024,149.20327441953123,30.75333881303234,0.022134099155664444,0.5584949254989624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,57,338,488,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,126,305,271,248,61,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4525053862898669,0.5293614393432129,2048.0,1024,0.4525053862898669,0.5293614393432129,2048.0,1024,0.4525053862898669,0.5293614393432129
H16_phihigh_rholow_s02,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44806699277146045,0.5225101479902411,0.9228515625,1024,128,6.1,4.85,0.01,0.0,0.47693293927905567,0.534384904343856,0.44806699277146045,0.5225101479902411,1024,679.0121598914266,530.0965453513869,0.06383254379034042,1.467937707901001,1024,149.46576178073883,31.16581215223917,0.019860558211803436,0.6487659811973572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,80,328,462,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,133,281,304,230,64,1,0,0,0,0,0,0,0,0,2048.0,1024,0.44806699277146045,0.5225101479902411,2048.0,1024,0.44806699277146045,0.5225101479902411,2048.0,1024,0.44806699277146045,0.5225101479902411
H16_phihigh_rholow_s03,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44961701302136214,0.5115391762429923,0.9287109375,1024,128,6.2,4.85,0.01,0.0,0.49307032251336097,0.5332042351333041,0.44961701302136214,0.5115391762429923,1024,695.7271360531449,558.8761053915516,0.10808324068784714,1.593827247619629,1024,151.10082218050957,31.342719382450667,0.020736008882522583,0.5569532513618469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,75,315,464,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,110,291,306,236,72,0,0,0,0,0,0,0,0,0,2048.0,1024,0.44961701302136214,0.5115391762429923,2048.0,1024,0.44961701302136214,0.5115391762429923,2048.0,1024,0.44961701302136214,0.5115391762429923
H16_phihigh_rholow_s04,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44960376086390147,0.5126154419117724,0.9248046875,1024,128,7.6,6.2,0.01,0.0,0.48798771115273437,0.5387863017359988,0.44960376086390147,0.5126154419117724,1024,691.7525639161468,546.3473366852404,0.1000925675034523,1.4911060333251953,1024,150.77101667411625,31.54580182287724,0.020537247881293297,0.5472642779350281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,65,325,460,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,129,265,321,232,69,0,0,0,0,0,0,0,0,0,2048.0,1024,0.44960376086390147,0.5126154419117724,2048.0,1024,0.44960376086390147,0.5126154419117724,2048.0,1024,0.44960376086390147,0.5126154419117724
H16_phihigh_rholow_s05,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44655228452322,0.5286067649666097,0.912109375,1024,128,6.3,4.83,0.01,0.0,0.47736091869155783,0.536557381655554,0.44655228452322,0.5286067649666097,1024,683.6206138208508,534.4448866337179,0.08659593760967255,1.425425410270691,1024,150.22982244379818,31.435616549138008,0.022981487214565277,0.5475770235061646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,79,307,477,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,138,282,280,244,74,0,0,0,0,0,0,0,0,0,2048.0,1024,0.44655228452322,0.5286067649666097,2048.0,1024,0.44655228452322,0.5286067649666097,2048.0,1024,0.44655228452322,0.5286067649666097
H16_phihigh_rholow_s06,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.45879247345016383,0.5203469402623382,0.9140625,1024,128,6.2,4.83,0.01,0.0,0.496552011097951,0.5363832168841436,0.45879247345016383,0.5203469402623382,1024,670.7624309621751,515.6605897189422,0.05870209261775017,1.5272337198257446,1024,154.33532690722495,32.85505316520569,0.015600512735545635,0.5533753633499146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,82,331,477,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,119,258,314,240,79,0,0,0,0,0,0,0,0,0,2048.0,1024,0.45879247345016383,0.5203469402623382,2048.0,1024,0.45879247345016383,0.5203469402623382,2048.0,1024,0.45879247345016383,0.5203469402623382
H16_phihigh_rholow_s07,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.46170337188223537,0.5323233652032645,0.9169921875,1024,128,6.0,4.83,0.01,0.0,0.4943740587877511,0.5418262341692338,0.46170337188223537,0.5323233652032645,1024,686.3962739259005,536.4519568077305,0.09110213071107864,1.5381615161895752,1024,148.33797714672983,30.83820782501732,0.023942265659570694,0.5901213884353638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,67,331,480,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,124,285,302,232,63,2,0,0,0,0,0,0,0,0,2048.0,1024,0.46170337188223537,0.5323233652032645,2048.0,1024,0.46170337188223537,0.5323233652032645,2048.0,1024,0.46170337188223537,0.5323233652032645
H16_phihigh_rholow_s08,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.46263829452896366,0.5287570695699446,0.9169921875,1024,128,6.2,4.84,0.01,0.0,0.502548861670045,0.5466222986721996,0.46263829452896366,0.5287570695699446,1024,680.6802194193006,527.7659666524587,0.0808108001947403,1.670992374420166,1024,147.19608448259532,29.974459113273056,0.01682918518781662,0.5707240700721741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,57,342,479,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,118,309,297,221,70,1,0,0,0,0,0,0,0,0,2048.0,1024,0.46263829452896366,0.5287570695699446,2048.0,1024,0.46263829452896366,0.5287570695699446,2048.0,1024,0.46263829452896366,0.5287570695699446
H16_phihigh_rholow_s09,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44688531106304447,0.5155457537968084,0.931640625,1024,128,7.6,6.21,0.01,0.0,0.472076768396656,0.5221824002574025,0.44688531106304447,0.5155457537968084,1024,689.9160259887576,541.7660107949,0.04975660890340805,1.4714462757110596,1024,145.26744136586785,29.56518992359907,0.01941123604774475,0.5025309324264526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,52,344,460,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,132,305,288,230,60,0,0,0,0,0,0,0,0,0,2048.0,1024,0.44688531106304447,0.5155457537968084,2048.0,1024,0.44688531106304447,0.5155457537968084,2048.0,1024,0.44688531106304447,0.5155457537968084
H16_phihigh_rholow_s10,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4567255734762378,0.5248664218446534,0.91796875,1024,128,6.2,4.88,0.01,0.0,0.48257499955137695,0.523884770395707,0.4567255734762378,0.5248664218446534,1024,682.2358596622944,534.2360344554131,0.07577577233314514,1.5941245555877686,1024,147.78461462259293,30.40786972150911,0.018209658563137054,0.5070880651473999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,70,329,475,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,136,285,287,233,70,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4567255734762378,0.5248664218446534,2048.0,1024,0.4567255734762378,0.5248664218446534,2048.0,1024,0.4567255734762378,0.5248664218446534
