cell,H,phi,rho,oracle_mse,explained,xvar_corr,MASE,MASE_sd,n_MASE,WQL,WQL_sd,n_WQL
H128_phimid_rhohigh,128,mid,high,0.125,0.502018816557111,0.9014596436064662,0.2986643171518762,0.002922053730906024,16,0.22629672826426284,0.0022948800865427057,16
H128_phihigh_rholow,128,high,low,0.024999999999999994,0.8996802774553149,0.0035567782318862867,0.1752234199504436,0.0018842287907963036,16,0.1320710919945348,0.0012630217574137014,16
H128_phihigh_rhomid,128,high,mid,0.024999999999999994,0.8997125055028998,0.5003926061040913,0.18153586906761976,0.0023210762853988626,16,0.1370808303561621,0.0012511199264577427,16
H128_phihigh_rhohigh,128,high,high,0.024999999999999994,0.9000432745819662,0.8988783331102476,0.1860864261070156,0.0027892147124858467,16,0.14092558330004348,0.001852160119838445,16
H256_philow_rholow,256,low,low,0.25,0.0,0.0,0.36727633306438606,0.002219129264244255,16,0.2755909334439867,0.0009857449532239757,16
H256_philow_rhomid,256,low,mid,0.25,0.0,0.0,0.36727633306438606,0.002219129264244255,16,0.2755909334439867,0.0009857449532239757,16
H256_philow_rhohigh,256,low,high,0.25,0.0,0.0,0.36727633306438606,0.002219129264244255,16,0.2755909334439867,0.0009857449532239757,16
H256_phimid_rholow,256,mid,low,0.125,0.5007023903530811,0.004667199225874948,0.30555077680424414,0.0024441927863230657,16,0.21956872232917632,0.0010831684327162906,16
H256_phimid_rhomid,256,mid,mid,0.125,0.4986031462113667,0.49503764271606215,0.3320200308042047,0.003304862378320682,16,0.23903611561049512,0.002040018676610557,16
H256_phimid_rhohigh,256,mid,high,0.125,0.4988890207623,0.8989221069275926,0.3307922267162077,0.0037308956755464887,16,0.23836245190573932,0.0026985566374477217,16
H256_phihigh_rholow,256,high,low,0.024999999999999994,0.9001312384309754,0.003974926506742233,0.21464875323300872,0.0027842308012725634,16,0.14898036295353762,0.001784714714602777,16
H256_phihigh_rhomid,256,high,mid,0.024999999999999994,0.8991445496207838,0.4952219308686142,0.2723823598066678,0.005056864726349546,16,0.18988582115876912,0.003653497946150202,16
H256_phihigh_rhohigh,256,high,high,0.024999999999999994,0.900697856700626,0.9000605128581733,0.2305490305859809,0.004130173038813372,16,0.16061754769449826,0.0027814426211027338,16
H512_philow_rholow,512,low,low,0.25,0.0,0.0,0.36781405279485274,0.0018767589912964452,16,0.2757934866300271,0.00141398710374332,16
H512_philow_rhomid,512,low,mid,0.25,0.0,0.0,0.36781405279485274,0.0018767589912964452,16,0.2757934866300271,0.00141398710374332,16
H512_philow_rhohigh,512,low,high,0.25,0.0,0.0,0.36781405279485274,0.0018767589912964452,16,0.2757934866300271,0.00141398710374332,16
H512_phimid_rholow,512,mid,low,0.125,0.49943691339727375,0.004455689189876092,0.33522125619483756,0.0027600250179690964,16,0.2369024170308134,0.001830068024435135,16
H512_phimid_rhomid,512,mid,mid,0.125,0.5004848926610493,0.5014441540673157,0.3569428739318878,0.003402400346679335,16,0.2520862114181326,0.002157841023697853,16
H512_phimid_rhohigh,512,mid,high,0.125,0.4991853193199517,0.8977130801774348,0.3501655772592824,0.0051845919767844065,16,0.2476347585816474,0.0035089288933836484,16
H512_phihigh_rholow,512,high,low,0.024999999999999994,0.8999621492848112,0.004997929119896208,0.27939734938578015,0.0035338976283647225,16,0.1880993278681295,0.002245977132469938,16
H512_phihigh_rhomid,512,high,mid,0.024999999999999994,0.899884832643828,0.49562415692191053,0.3305813089809886,0.00524945349934028,16,0.22239665727611996,0.0034862065729520005,16
H512_phihigh_rhohigh,512,high,high,0.024999999999999994,0.9008291807670155,0.8992334760973291,0.303676770101522,0.006135271034230586,16,0.205070818533251,0.004407316281734404,16
H1024_philow_rholow,1024,low,low,0.25,0.0,0.0,0.369906659748644,0.0020409869905720916,16,0.27710670832095796,0.0011689120212858425,16
H1024_philow_rhomid,1024,low,mid,0.25,0.0,0.0,0.369906659748644,0.0020409869905720916,16,0.27710670832095796,0.0011689120212858425,16
H1024_philow_rhohigh,1024,low,high,0.25,0.0,0.0,0.369906659748644,0.0020409869905720916,16,0.27710670832095796,0.0011689120212858425,16
H1024_phimid_rholow,1024,mid,low,0.125,0.5002269653877328,0.007463165348015309,0.3983403247047791,0.004934611100499518,16,0.27877933767701635,0.0023742676422226,16
H1024_phimid_rhomid,1024,mid,mid,0.125,0.5019142809309144,0.5012664572435307,0.4275334512427087,0.006339612945162548,16,0.2996093030579642,0.0036626634788610554,16
H1024_phimid_rhohigh,1024,mid,high,0.125,0.498749177887065,0.8978757283573645,0.40919221408633266,0.006356020245314587,16,0.287799765205496,0.0039038298355297154,16
H1024_phihigh_rholow,1024,high,low,0.024999999999999994,0.9000316866389053,0.006365132193838211,0.3916690859597346,0.007426891106655178,16,0.257993963043791,0.00356086497022058,16
H1024_phihigh_rhomid,1024,high,mid,0.024999999999999994,0.8994252925989404,0.4945138518266131,0.4581607435947207,0.0069262995504305565,16,0.3022825844708365,0.004363281399988716,16
H1024_phihigh_rhohigh,1024,high,high,0.024999999999999994,0.9000185961306495,0.899363079710563,0.41386963543383076,0.011873962139105443,16,0.27538400021683973,0.007933881811253386,16
