dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s
H1024_phimid_rhohigh_s05,chronos-2:autogluon/chronos-2,0.28764919905046066,0.4114522508945186,0.9990234375,1024,128,6.9,4.72,0.18,0.0
H1024_phimid_rhohigh_s06,chronos-2:autogluon/chronos-2,0.28737320819264234,0.41174266719353336,0.9951171875,1024,128,8.4,5.35,0.28,0.0
H1024_phimid_rhohigh_s07,chronos-2:autogluon/chronos-2,0.2913766232780628,0.41142555834208405,0.99609375,1024,128,7.2,4.69,0.18,0.0
H1024_phimid_rhohigh_s08,chronos-2:autogluon/chronos-2,0.2806853274206374,0.3980015097070282,0.9970703125,1024,128,7.1,4.64,0.17,0.0
H1024_phimid_rhohigh_s09,chronos-2:autogluon/chronos-2,0.2838681820173097,0.402479131710025,0.998046875,1024,128,6.6,4.63,0.16,0.0
H1024_phimid_rhohigh_s10,chronos-2:autogluon/chronos-2,0.28169457895546535,0.4013096719709422,0.998046875,1024,128,7.2,4.64,0.17,0.0
H1024_phimid_rhohigh_s11,chronos-2:autogluon/chronos-2,0.28748839643388346,0.4109805259500725,0.9990234375,1024,128,8.2,4.78,0.17,0.0
H1024_phimid_rhohigh_s12,chronos-2:autogluon/chronos-2,0.2886463051240956,0.41126430125446367,0.9970703125,1024,128,7.7,4.61,0.17,0.0
H1024_phimid_rhohigh_s13,chronos-2:autogluon/chronos-2,0.2912089622823235,0.4106555686428673,0.9990234375,1024,128,7.5,4.86,0.15,0.0
H1024_phimid_rhohigh_s14,chronos-2:autogluon/chronos-2,0.28631818492248035,0.4035465742124056,0.9970703125,1024,128,7.2,4.71,0.17,0.0
H1024_phimid_rhohigh_s15,chronos-2:autogluon/chronos-2,0.29499355145533324,0.4213645998875624,0.9912109375,1024,128,7.5,5.24,0.21,0.0
H1024_phimid_rholow_s00,chronos-2:autogluon/chronos-2,0.2810716698316284,0.3964692114075449,0.9990234375,1024,128,6.9,4.63,0.17,0.0
H1024_phimid_rholow_s01,chronos-2:autogluon/chronos-2,0.2810042554540579,0.4034362141721146,1.0,1024,128,7.2,4.88,0.18,0.0
H1024_phimid_rholow_s02,chronos-2:autogluon/chronos-2,0.2800931533609815,0.4039554671734558,0.9990234375,1024,128,7.2,4.67,0.16,0.0
H1024_phimid_rholow_s03,chronos-2:autogluon/chronos-2,0.27605025925893706,0.3945649790441091,1.0,1024,128,7.1,4.64,0.16,0.0
H1024_phimid_rholow_s04,chronos-2:autogluon/chronos-2,0.28032838392989035,0.40008800402061206,1.0,1024,128,7.5,4.63,0.18,0.0
H1024_phimid_rholow_s05,chronos-2:autogluon/chronos-2,0.27802109983605006,0.400729948072777,0.9990234375,1024,128,6.7,4.62,0.18,0.0
H1024_phimid_rholow_s06,chronos-2:autogluon/chronos-2,0.28461705730739784,0.4103523006984386,0.9951171875,1024,128,7.2,4.63,0.16,0.0
H1024_phimid_rholow_s07,chronos-2:autogluon/chronos-2,0.27653923339231606,0.39337694054927197,0.9990234375,1024,128,7.0,4.68,0.15,0.0
H1024_phimid_rholow_s08,chronos-2:autogluon/chronos-2,0.2792462797126832,0.39692820419588903,0.9990234375,1024,128,8.1,5.23,0.17,0.0
H1024_phimid_rholow_s09,chronos-2:autogluon/chronos-2,0.27620294903768766,0.3939013121837165,0.998046875,1024,128,7.2,4.72,0.18,0.0
H1024_phimid_rholow_s10,chronos-2:autogluon/chronos-2,0.2794444347551256,0.40033401624300907,0.99609375,1024,128,7.7,4.68,0.15,0.0
H1024_phimid_rholow_s11,chronos-2:autogluon/chronos-2,0.27892282386891765,0.40066569214094183,0.9990234375,1024,128,7.8,4.62,0.15,0.0
H1024_phimid_rholow_s12,chronos-2:autogluon/chronos-2,0.278256587228936,0.3975984379392319,0.9990234375,1024,128,8.5,4.61,0.85,0.0
H1024_phimid_rholow_s13,chronos-2:autogluon/chronos-2,0.2785267852347118,0.3944251168197278,1.0,1024,128,7.8,4.7,0.18,0.0
H1024_phimid_rholow_s14,chronos-2:autogluon/chronos-2,0.2754421994406804,0.39059481044378586,0.9990234375,1024,128,7.5,4.51,0.15,0.0
H1024_phimid_rholow_s15,chronos-2:autogluon/chronos-2,0.27670223118226034,0.3960245401718397,0.9990234375,1024,128,7.8,4.64,0.15,0.0
H1024_phimid_rhomid_s00,chronos-2:autogluon/chronos-2,0.30251562277090616,0.42665251753645905,0.9931640625,1024,128,7.2,4.64,0.18,0.0
H1024_phimid_rhomid_s01,chronos-2:autogluon/chronos-2,0.3012223684954768,0.4329595043212331,0.99609375,1024,128,8.0,4.67,0.18,0.0
H1024_phimid_rhomid_s02,chronos-2:autogluon/chronos-2,0.2971221006798509,0.4281477566878047,0.9951171875,1024,128,6.9,4.64,0.15,0.0
H1024_phimid_rhomid_s03,chronos-2:autogluon/chronos-2,0.2956323004244673,0.4217886515960755,0.99609375,1024,128,6.7,4.61,0.16,0.0
H1024_phimid_rhomid_s04,chronos-2:autogluon/chronos-2,0.29841355691258764,0.4249221796045753,0.99609375,1024,128,6.5,4.65,0.18,0.0
H1024_phimid_rhomid_s05,chronos-2:autogluon/chronos-2,0.30156689077616194,0.4328102210079285,0.998046875,1024,128,6.7,4.63,0.17,0.0
H1024_phimid_rhomid_s06,chronos-2:autogluon/chronos-2,0.3018676408248516,0.4346161944870073,0.994140625,1024,128,7.9,4.7,0.16,0.0
H1024_phimid_rhomid_s07,chronos-2:autogluon/chronos-2,0.3002018421339172,0.4256163576506501,0.9970703125,1024,128,6.9,4.67,0.16,0.0
H1024_phimid_rhomid_s08,chronos-2:autogluon/chronos-2,0.3006244106474963,0.42694553813520897,0.994140625,1024,128,6.5,4.45,0.17,0.0
H1024_phimid_rhomid_s09,chronos-2:autogluon/chronos-2,0.2938070857675003,0.41986408810652665,1.0,1024,128,7.2,4.64,0.18,0.0
H1024_phimid_rhomid_s10,chronos-2:autogluon/chronos-2,0.30376928666556535,0.4348231684910403,0.9951171875,1024,128,8.2,5.3,0.18,0.0
H1024_phimid_rhomid_s11,chronos-2:autogluon/chronos-2,0.30739071099074744,0.44021894640714554,0.9921875,1024,128,7.0,4.59,0.15,0.0
H1024_phimid_rhomid_s12,chronos-2:autogluon/chronos-2,0.3006822151308821,0.4304857964159061,0.9970703125,1024,128,6.9,4.62,0.16,0.0
H1024_phimid_rhomid_s13,chronos-2:autogluon/chronos-2,0.294985486582166,0.4180064663423917,1.0,1024,128,7.3,4.69,0.19,0.0
H1024_phimid_rhomid_s14,chronos-2:autogluon/chronos-2,0.29903352786235443,0.42214756178591756,0.994140625,1024,128,6.9,4.65,0.17,0.0
H1024_phimid_rhomid_s15,chronos-2:autogluon/chronos-2,0.2949138022624963,0.4205302713074691,0.99609375,1024,128,8.7,4.71,0.16,0.0
H128_phihigh_rhohigh_s00,chronos-2:autogluon/chronos-2,0.141854878258994,0.18715409420651236,1.0,1024,128,5.5,3.29,0.03,0.0
H128_phihigh_rhohigh_s01,chronos-2:autogluon/chronos-2,0.14087349628176118,0.18635972778193166,1.0,1024,128,5.0,3.12,0.02,0.0
H128_phihigh_rhohigh_s02,chronos-2:autogluon/chronos-2,0.1382382425546965,0.18176456643979372,1.0,1024,128,4.6,3.16,0.02,0.0
H128_phihigh_rhohigh_s03,chronos-2:autogluon/chronos-2,0.13997803830672395,0.1889253843825781,1.0,1024,128,4.7,3.36,0.02,0.0
H128_phihigh_rhohigh_s04,chronos-2:autogluon/chronos-2,0.13901050969581094,0.18303128874760205,1.0,1024,128,4.7,3.21,0.02,0.0
H128_phihigh_rhohigh_s05,chronos-2:autogluon/chronos-2,0.1425515354517951,0.18578977802991373,1.0,1024,128,5.3,3.9,0.02,0.0
H128_phihigh_rhohigh_s06,chronos-2:autogluon/chronos-2,0.1426279188389017,0.1851075662591264,1.0,1024,128,4.8,3.19,0.02,0.0
H128_phihigh_rhohigh_s07,chronos-2:autogluon/chronos-2,0.14185325222556439,0.1868897820678242,1.0,1024,128,4.8,3.33,0.02,0.0
H128_phihigh_rhohigh_s08,chronos-2:autogluon/chronos-2,0.1371695997762996,0.18102509361089503,1.0,1024,128,5.4,3.22,0.02,0.0
H128_phihigh_rhohigh_s09,chronos-2:autogluon/chronos-2,0.1440739624834118,0.19013822575569866,1.0,1024,128,5.4,3.28,0.02,0.0
H128_phihigh_rhohigh_s10,chronos-2:autogluon/chronos-2,0.14229124705442583,0.18701476048874605,1.0,1024,128,5.4,3.26,0.02,0.0
H128_phihigh_rhohigh_s11,chronos-2:autogluon/chronos-2,0.14181494925974403,0.18935778036281778,1.0,1024,128,6.0,4.0,0.02,0.0
H128_phihigh_rhohigh_s12,chronos-2:autogluon/chronos-2,0.141133803805355,0.18460470522034986,1.0,1024,128,4.9,3.24,0.02,0.0
H128_phihigh_rhohigh_s13,chronos-2:autogluon/chronos-2,0.14199753145981903,0.19040224376675124,1.0,1024,128,4.8,3.21,0.02,0.0
H128_phihigh_rhohigh_s14,chronos-2:autogluon/chronos-2,0.1388390485029738,0.18542126203910264,1.0,1024,128,4.8,3.21,0.02,0.0
H128_phihigh_rhohigh_s15,chronos-2:autogluon/chronos-2,0.14050131884441927,0.184396558552607,1.0,1024,128,4.9,3.21,0.02,0.0
H128_phihigh_rholow_s00,chronos-2:autogluon/chronos-2,0.1332961847375902,0.1765436255308623,1.0,1024,128,4.9,3.3,0.02,0.0
H128_phihigh_rholow_s01,chronos-2:autogluon/chronos-2,0.1344560078973579,0.17709514045460092,1.0,1024,128,4.6,3.21,0.02,0.0
H128_phihigh_rholow_s02,chronos-2:autogluon/chronos-2,0.13139614698304658,0.17357467383174208,1.0,1024,128,5.1,3.85,0.02,0.0
H128_phihigh_rholow_s03,chronos-2:autogluon/chronos-2,0.13023411562581644,0.1770233680142376,1.0,1024,128,5.4,3.21,0.02,0.0
H128_phihigh_rholow_s04,chronos-2:autogluon/chronos-2,0.1331527285436737,0.17573221405310308,1.0,1024,128,4.8,3.21,0.02,0.0
H128_phihigh_rholow_s05,chronos-2:autogluon/chronos-2,0.133560958904277,0.1729670664827155,1.0,1024,128,4.5,3.21,0.02,0.0
H128_phihigh_rholow_s06,chronos-2:autogluon/chronos-2,0.13296743154405913,0.17193198394881748,1.0,1024,128,4.7,3.2,0.02,0.0
H128_phihigh_rholow_s07,chronos-2:autogluon/chronos-2,0.13175055909290045,0.17710346811777258,1.0,1024,128,4.7,3.21,0.02,0.0
H128_phihigh_rholow_s08,chronos-2:autogluon/chronos-2,0.13102958123849384,0.17473096357923934,1.0,1024,128,4.6,3.2,0.02,0.0
H128_phihigh_rholow_s09,chronos-2:autogluon/chronos-2,0.13069948742794182,0.17337297369778126,1.0,1024,128,5.5,3.22,0.02,0.0
H128_phihigh_rholow_s10,chronos-2:autogluon/chronos-2,0.1308782340137188,0.1725718027553983,1.0,1024,128,4.9,3.3,0.02,0.0
H128_phihigh_rholow_s11,chronos-2:autogluon/chronos-2,0.13112145030032846,0.17589691679084474,1.0,1024,128,4.7,3.23,0.02,0.0
H128_phihigh_rholow_s12,chronos-2:autogluon/chronos-2,0.1331654509902976,0.17698785063748457,1.0,1024,128,4.7,3.2,0.02,0.0
H128_phihigh_rholow_s13,chronos-2:autogluon/chronos-2,0.1308561750106268,0.1764787284226871,1.0,1024,128,4.7,3.2,0.02,0.0
H128_phihigh_rholow_s14,chronos-2:autogluon/chronos-2,0.13281404090531557,0.1774948446803679,1.0,1024,128,4.9,3.25,0.02,0.0
H128_phihigh_rholow_s15,chronos-2:autogluon/chronos-2,0.13175891869711273,0.17406909820944363,1.0,1024,128,4.7,3.2,0.02,0.0
H128_phihigh_rhomid_s00,chronos-2:autogluon/chronos-2,0.1383404154638747,0.18212639534040814,1.0,1024,128,5.5,3.3,0.02,0.0
H128_phihigh_rhomid_s01,chronos-2:autogluon/chronos-2,0.13729184075217116,0.18141995357609267,1.0,1024,128,5.0,3.27,0.02,0.0
H128_phihigh_rhomid_s02,chronos-2:autogluon/chronos-2,0.1369277455391651,0.1812462742900156,1.0,1024,128,5.1,3.2,0.02,0.0
