cell,H,context,phi,shuf,group,observed_corr,observed_corr_abs,explained,cross_channel_gain,MASE,MASE_sd,n_MASE,WQL,WQL_sd,n_WQL
philow_shall_gpno,64,512,low,all,no,-0.0031018118567526145,0.07898378231318925,0.29984921876492926,-0.04554266120074346,0.6662913462083799,0.0030645439531316464,8,0.7041859279045823,0.003437057115697176,8
phimid_shnone_gpfull,64,512,mid,none,full,0.3872317204366227,0.39012165002877797,0.6018606616438417,0.0015217965692524427,0.5529571508592586,0.007440572458121312,8,0.5692163530562719,0.006637307437187209,8
phimid_shnone_gphalf,64,512,mid,none,half,0.1439804524423836,0.2308606176590766,0.599094090629116,-0.0030504360010953913,0.5676507188057078,0.009149534291626089,8,0.577597809595254,0.004766087295894428,8
phimid_shnone_gpno,64,512,mid,none,no,-0.00518867936758711,0.13803422600437532,0.600477961758602,-0.022706510755756082,0.5718682249012571,0.006683133636584265,8,0.5753163700988464,0.0037267555405421783,8
phimid_shhalf_gpfull,64,512,mid,half,full,0.18808630378635766,0.2622943862012271,0.6018606616438417,-0.02060857317399939,0.5630946203227634,0.006102412252178815,8,0.5792896528599684,0.003580277746796264,8
phimid_shhalf_gphalf,64,512,mid,half,half,0.08117648902073556,0.19074569142148234,0.599094090629116,-0.01989446726244426,0.5711895585101104,0.005550457458454908,8,0.5811716942817347,0.0034275244259267964,8
phimid_shhalf_gpno,64,512,mid,half,no,-0.006712836907811928,0.140448281611158,0.600477961758602,-0.02876258384483027,0.5710160132194825,0.005157834523581245,8,0.5748835694583446,0.0038280293920407256,8
phimid_shall_gpfull,64,512,mid,all,full,0.009627938366245582,0.14289900730674593,0.6018606616438417,-0.02591059785114358,0.5734716135715612,0.004538233579556773,8,0.5896305713985696,0.003147782376809928,8
phimid_shall_gphalf,64,512,mid,all,half,-0.00037325379046315764,0.13527928737472067,0.599094090629116,-0.0268416875607288,0.5755396731108351,0.0032953131353419506,8,0.585401924803281,0.004862732480163517,8
phimid_shall_gpno,64,512,mid,all,no,0.004354716920656112,0.1348258239663729,0.600477961758602,-0.02393642224111614,0.5720351112226422,0.004314399666960626,8,0.5755413519492267,0.002526817707424989,8
phihigh_shnone_gpfull,64,512,high,none,full,0.6459001185628577,0.6487247687836997,0.899963642287522,-0.004895928667418281,0.3630766897688334,0.013370437266362875,8,0.3301471113181303,0.007030031904114923,8
phihigh_shnone_gphalf,64,512,high,none,half,0.24071167494366696,0.3699574193169655,0.8992418513445132,-0.005968773632005431,0.3799545244112896,0.008267271112896714,8,0.3338092584414672,0.00816367370025007,8
phihigh_shnone_gpno,64,512,high,none,no,-0.004927439301082831,0.21657779387065063,0.9003171031176057,-0.014227468913983077,0.39175391359360856,0.011826647598380422,8,0.36006893453434463,0.009065458657844909,8
phihigh_shhalf_gpfull,64,512,high,half,full,0.35262650132580586,0.45621970352460883,0.899963642287522,-0.010686558551616376,0.3805195341811054,0.008230646299628183,8,0.3456148322995833,0.005744515825311704,8
phihigh_shhalf_gphalf,64,512,high,half,half,0.12735099288051702,0.30624168103169047,0.8992418513445132,-0.010485565419177778,0.38576095376436004,0.007754693939566387,8,0.3385080089022096,0.005951664856991561,8
phihigh_shhalf_gpno,64,512,high,half,no,-0.0037911915040451374,0.21686300831910493,0.9003171031176057,-0.011756611644012316,0.3921758793662884,0.008166494832782829,8,0.3606975763028841,0.004670104099036683,8
phihigh_shall_gpfull,64,512,high,all,full,0.0007504023138183002,0.2224907227632799,0.899963642287522,-0.012308834821518344,0.3948070846541216,0.008762755233128545,8,0.35943597168188873,0.0069272943870824855,8
phihigh_shall_gphalf,64,512,high,all,half,-0.010352145346535844,0.21573695742280413,0.8992418513445132,-0.013146427300045782,0.39095702800381615,0.006724019848783224,8,0.34304488875855865,0.002460556127237112,8
phihigh_shall_gpno,64,512,high,all,no,-0.010519301742405038,0.22348791168653614,0.9003171031176057,-0.013556374456817455,0.3924828199368413,0.007330468963589085,8,0.3614657949305583,0.005395615677338653,8
philow_shnone_gpfull,256,512,low,none,full,0.20064219075542775,0.20277025940692084,0.29826782829256554,-0.004732313068504218,0.7092531844356393,0.006951903285529892,8,0.7436351270967276,0.004304202400193271,8
philow_shnone_gphalf,256,512,low,none,half,0.06890805827694355,0.12325872083707468,0.29807833305426323,-0.022467162185833528,0.7178950031892941,0.005659416096988637,8,0.7532483973918045,0.004093874145523491,8
philow_shnone_gpno,256,512,low,none,no,0.000292703311877894,0.08084318831109122,0.29984921876492926,-0.04499029363695112,0.723195158088317,0.005031648979660346,8,0.7554116585773991,0.003226650393564124,8
philow_shhalf_gpfull,256,512,low,half,full,0.11205884324834628,0.14800575303023855,0.29826782829256554,-0.03724481255752787,0.717166990729722,0.005334954636959195,8,0.7517749565428218,0.0034099826835267155,8
philow_shhalf_gphalf,256,512,low,half,half,0.033451036512075843,0.10312120352367264,0.29807833305426323,-0.038122963279114463,0.7201306645657015,0.005846671953154202,8,0.7555315822902845,0.004743667745113593,8
philow_shhalf_gpno,256,512,low,half,no,0.0019235837991844825,0.07969377648214794,0.29984921876492926,-0.04689574635168295,0.7235403998375824,0.005729216153077129,8,0.75567482190674,0.003780151531604807,8
philow_shall_gpfull,256,512,low,all,full,0.0038420644285592077,0.07765731383431451,0.29826782829256554,-0.04177907890918653,0.7233939232463787,0.0038859993098940486,8,0.7579556025637106,0.0026115496946908083,8
philow_shall_gphalf,256,512,low,all,half,-0.0003565562747241502,0.0807281377475354,0.29807833305426323,-0.045153930953407695,0.7235135427832851,0.004219032544547873,8,0.7588912495068553,0.0024748289334537896,8
philow_shall_gpno,256,512,low,all,no,-0.0031018118567526145,0.07898378231318925,0.29984921876492926,-0.04554266120074346,0.723231136363996,0.004078333095141346,8,0.7552094465934369,0.003709872094693697,8
phimid_shnone_gpfull,256,512,mid,none,full,0.3872317204366227,0.39012165002877797,0.6018606616438417,0.0015217965692524427,0.6798130571825862,0.009032923519247933,8,0.6674746553063388,0.007806685061187448,8
phimid_shnone_gphalf,256,512,mid,none,half,0.1439804524423836,0.2308606176590766,0.599094090629116,-0.0030504360010953913,0.7092116611700212,0.015814841151360125,8,0.6951172259857623,0.009798642351364593,8
phimid_shnone_gpno,256,512,mid,none,no,-0.00518867936758711,0.13803422600437532,0.600477961758602,-0.022706510755756082,0.7187324968473813,0.012244449360809853,8,0.6877101148943872,0.008290775074967298,8
phimid_shhalf_gpfull,256,512,mid,half,full,0.18808630378635766,0.2622943862012271,0.6018606616438417,-0.02060857317399939,0.6996968232837399,0.008757421314551764,8,0.6868499398515855,0.008079467133403772,8
phimid_shhalf_gphalf,256,512,mid,half,half,0.08117648902073556,0.19074569142148234,0.599094090629116,-0.01989446726244426,0.7154913609231099,0.008119110489487245,8,0.7009733171918295,0.006191076571596374,8
phimid_shhalf_gpno,256,512,mid,half,no,-0.006712836907811928,0.140448281611158,0.600477961758602,-0.02876258384483027,0.7185351306144575,0.007834620839086153,8,0.6876783569009806,0.005115048128771244,8
phimid_shall_gpfull,256,512,mid,all,full,0.009627938366245582,0.14289900730674593,0.6018606616438417,-0.02591059785114358,0.7221052406301723,0.0074768407606727125,8,0.7079826050324771,0.003357185573210384,8
phimid_shall_gphalf,256,512,mid,all,half,-0.00037325379046315764,0.13527928737472067,0.599094090629116,-0.0268416875607288,0.7237691932363268,0.0076620428188200465,8,0.7085738033846622,0.00586791850026176,8
phimid_shall_gpno,256,512,mid,all,no,0.004354716920656112,0.1348258239663729,0.600477961758602,-0.02393642224111614,0.7201594795351018,0.00973582514830149,8,0.6889033735599538,0.007379182954192951,8
phihigh_shnone_gpfull,256,512,high,none,full,0.6459001185628577,0.6487247687836997,0.899963642287522,-0.004895928667418281,0.6420620935616903,0.02981581193955878,8,0.5110491297731738,0.014926198323163217,8
phihigh_shnone_gphalf,256,512,high,none,half,0.24071167494366696,0.3699574193169655,0.8992418513445132,-0.005968773632005431,0.6751131505272279,0.029753079617075247,8,0.5112805543813326,0.015566187865933506,8
phihigh_shnone_gpno,256,512,high,none,no,-0.004927439301082831,0.21657779387065063,0.9003171031176057,-0.014227468913983077,0.7067714054850096,0.017959167348224798,8,0.5702977041836813,0.013457068079629783,8
phihigh_shhalf_gpfull,256,512,high,half,full,0.35262650132580586,0.45621970352460883,0.899963642287522,-0.010686558551616376,0.686252770777922,0.03023211859366595,8,0.5465208025034825,0.012770769337077508,8
phihigh_shhalf_gphalf,256,512,high,half,half,0.12735099288051702,0.30624168103169047,0.8992418513445132,-0.010485565419177778,0.6908677566743238,0.022228429542468616,8,0.5234918443346919,0.010601410729068424,8
phihigh_shhalf_gpno,256,512,high,half,no,-0.0037911915040451374,0.21686300831910493,0.9003171031176057,-0.011756611644012316,0.705154202403524,0.01292792384318781,8,0.5703716479383589,0.007603890500180992,8
phihigh_shall_gpfull,256,512,high,all,full,0.0007504023138183002,0.2224907227632799,0.899963642287522,-0.012308834821518344,0.7198219050028842,0.021805312766673825,8,0.5746086140845348,0.009363063619045455,8
phihigh_shall_gphalf,256,512,high,all,half,-0.010352145346535844,0.21573695742280413,0.8992418513445132,-0.013146427300045782,0.7000759138080761,0.009585226267598241,8,0.5315115563199879,0.006262742367596286,8
phihigh_shall_gpno,256,512,high,all,no,-0.010519301742405038,0.22348791168653614,0.9003171031176057,-0.013556374456817455,0.7063657422002029,0.015111878888990782,8,0.5703745994818605,0.008884336164829377,8
philow_shnone_gpfull,1024,512,low,none,full,0.20064219075542775,0.20277025940692084,0.29826782829256554,-0.004732313068504218,0.7693852510367114,0.013883867722507564,8,0.8072044071907504,0.01271140533030524,8
philow_shnone_gphalf,1024,512,low,none,half,0.06890805827694355,0.12325872083707468,0.29807833305426323,-0.022467162185833528,0.7754444447044118,0.0088034773652796,8,0.8132161143599022,0.007826105193956476,8
philow_shnone_gpno,1024,512,low,none,no,0.000292703311877894,0.08084318831109122,0.29984921876492926,-0.04499029363695112,0.7758548922180588,0.005716319449447153,8,0.8112542617223037,0.005565452130342288,8
philow_shhalf_gpfull,1024,512,low,half,full,0.11205884324834628,0.14800575303023855,0.29826782829256554,-0.03724481255752787,0.7694557675941142,0.008765288817606484,8,0.8077181710612837,0.008183638028052057,8
philow_shhalf_gphalf,1024,512,low,half,half,0.033451036512075843,0.10312120352367264,0.29807833305426323,-0.038122963279114463,0.7734814118163131,0.004420531921179076,8,0.8110276809211256,0.00459238546566326,8
philow_shhalf_gpno,1024,512,low,half,no,0.0019235837991844825,0.07969377648214794,0.29984921876492926,-0.04689574635168295,0.7792365634130742,0.011299810825623062,8,0.8142548384347454,0.009952960176714128,8
philow_shall_gpfull,1024,512,low,all,full,0.0038420644285592077,0.07765731383431451,0.29826782829256554,-0.04177907890918653,0.7664039376350193,0.003713314870240549,8,0.8043625460366274,0.00391969910287134,8
philow_shall_gphalf,1024,512,low,all,half,-0.0003565562747241502,0.0807281377475354,0.29807833305426323,-0.045153930953407695,0.7709601115204829,0.007240362985406797,8,0.8084532981917063,0.004057105034352018,8
philow_shall_gpno,1024,512,low,all,no,-0.0031018118567526145,0.07898378231318925,0.29984921876492926,-0.04554266120074346,0.774283075778496,0.007850093283681955,8,0.8096896093569127,0.006920458974632995,8
phimid_shnone_gpfull,1024,512,mid,none,full,0.3872317204366227,0.39012165002877797,0.6018606616438417,0.0015217965692524427,0.7967724234973763,0.013224591861276128,8,0.778251878022451,0.010060942708220206,8
phimid_shnone_gphalf,1024,512,mid,none,half,0.1439804524423836,0.2308606176590766,0.599094090629116,-0.0030504360010953913,0.8172814091241273,0.014408608872299363,8,0.7993324228967169,0.006442016986543544,8
phimid_shnone_gpno,1024,512,mid,none,no,-0.00518867936758711,0.13803422600437532,0.600477961758602,-0.022706510755756082,0.8461831595416459,0.011866448773944098,8,0.8074517239601617,0.007966721195231246,8
phimid_shhalf_gpfull,1024,512,mid,half,full,0.18808630378635766,0.2622943862012271,0.6018606616438417,-0.02060857317399939,0.8131467023497803,0.011430559418842978,8,0.7945605375873074,0.009136651603552065,8
phimid_shhalf_gphalf,1024,512,mid,half,half,0.08117648902073556,0.19074569142148234,0.599094090629116,-0.01989446726244426,0.8219765950600824,0.010429678714766199,8,0.8043516664248582,0.006090016468888757,8
phimid_shhalf_gpno,1024,512,mid,half,no,-0.006712836907811928,0.140448281611158,0.600477961758602,-0.02876258384483027,0.8467044978631924,0.010790699230127364,8,0.8075931174638202,0.007204599850933766,8
phimid_shall_gpfull,1024,512,mid,all,full,0.009627938366245582,0.14289900730674593,0.6018606616438417,-0.02591059785114358,0.8314498256931478,0.009846442470797407,8,0.8126208150895403,0.0063294862447822176,8
phimid_shall_gphalf,1024,512,mid,all,half,-0.00037325379046315764,0.13527928737472067,0.599094090629116,-0.0268416875607288,0.8251364681724739,0.008639275601930771,8,0.8072021537058889,0.0060424425364776916,8
phimid_shall_gpno,1024,512,mid,all,no,0.004354716920656112,0.1348258239663729,0.600477961758602,-0.02393642224111614,0.8478078132167503,0.010386285684822838,8,0.8096084663107227,0.006700257833969516,8
phihigh_shnone_gpfull,1024,512,high,none,full,0.6459001185628577,0.6487247687836997,0.899963642287522,-0.004895928667418281,0.8978572753164054,0.04624415965761346,8,0.7215168651393122,0.025932000751082034,8
phihigh_shnone_gphalf,1024,512,high,none,half,0.24071167494366696,0.3699574193169655,0.8992418513445132,-0.005968773632005431,0.9861868498128238,0.03540821433648536,8,0.7492932324648598,0.013572575248472772,8
phihigh_shnone_gpno,1024,512,high,none,no,-0.004927439301082831,0.21657779387065063,0.9003171031176057,-0.014227468913983077,0.9656214824597148,0.018360334827504852,8,0.7840657814599075,0.009746409689601953,8
phihigh_shhalf_gpfull,1024,512,high,half,full,0.35262650132580586,0.45621970352460883,0.899963642287522,-0.010686558551616376,0.9415349170164125,0.03919428403897743,8,0.7549539627719479,0.017087096484661293,8
phihigh_shhalf_gphalf,1024,512,high,half,half,0.12735099288051702,0.30624168103169047,0.8992418513445132,-0.010485565419177778,0.9980077339348793,0.029996036456534363,8,0.7583074896481389,0.011771927916251495,8
phihigh_shhalf_gpno,1024,512,high,half,no,-0.0037911915040451374,0.21686300831910493,0.9003171031176057,-0.011756611644012316,0.96391769407706,0.025344135491017123,8,0.7855525551151886,0.014040251045647557,8
phihigh_shall_gpfull,1024,512,high,all,full,0.0007504023138183002,0.2224907227632799,0.899963642287522,-0.012308834821518344,0.9746983586024653,0.012830327347093624,8,0.7832064050774752,0.006696843211317125,8
phihigh_shall_gphalf,1024,512,high,all,half,-0.010352145346535844,0.21573695742280413,0.8992418513445132,-0.013146427300045782,1.000957793488328,0.019472716010054125,8,0.764683093290048,0.011637948214652692,8
phihigh_shall_gpno,1024,512,high,all,no,-0.010519301742405038,0.22348791168653614,0.9003171031176057,-0.013556374456817455,0.9598988428551349,0.0204350767149022,8,0.7818588863323915,0.008243674010959798,8
