dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s
phihigh_shall_gphalf_s02_c512h64,chronos-2:autogluon/chronos-2,0.3464234670207478,0.38688129527579984,0.966796875,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s03_c512h1024,chronos-2:autogluon/chronos-2,0.761800851473653,0.9913574286551392,0.6201171875,1024,256,2.5,2.28,0.15,0.0
phihigh_shall_gphalf_s03_c512h16,chronos-2:autogluon/chronos-2,0.3278624286525258,0.32254697663900767,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s03_c512h256,chronos-2:autogluon/chronos-2,0.5357997397536419,0.6900205169862643,0.779296875,1024,256,2.6,2.51,0.04,0.0
phihigh_shall_gphalf_s03_c512h64,chronos-2:autogluon/chronos-2,0.3407292985860926,0.38798661289792813,0.9716796875,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s04_c512h1024,chronos-2:autogluon/chronos-2,0.7846619416151315,1.0339094240262867,0.5947265625,1024,256,2.7,2.48,0.15,0.0
phihigh_shall_gphalf_s04_c512h16,chronos-2:autogluon/chronos-2,0.32185583317858646,0.329174196316486,1.0,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s04_c512h256,chronos-2:autogluon/chronos-2,0.5346237185762527,0.7147628930910168,0.7939453125,1024,256,1.2,1.16,0.04,0.0
phihigh_shall_gphalf_s04_c512h64,chronos-2:autogluon/chronos-2,0.342248597616796,0.4033907276772451,0.9599609375,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s05_c512h1024,chronos-2:autogluon/chronos-2,0.744745253422309,0.9841442475242217,0.6474609375,1024,256,2.5,2.34,0.15,0.0
phihigh_shall_gphalf_s05_c512h16,chronos-2:autogluon/chronos-2,0.3182582895878777,0.3155073694568613,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s05_c512h256,chronos-2:autogluon/chronos-2,0.5166429184768115,0.6933651480530121,0.77734375,1024,256,1.2,1.11,0.04,0.0
phihigh_shall_gphalf_s05_c512h64,chronos-2:autogluon/chronos-2,0.34111919422841863,0.38893923965001326,0.9658203125,1024,256,0.9,0.83,0.02,0.0
phihigh_shall_gphalf_s06_c512h1024,chronos-2:autogluon/chronos-2,0.7654862523618544,1.0153417786847672,0.6181640625,1024,256,2.5,2.32,0.15,0.0
phihigh_shall_gphalf_s06_c512h16,chronos-2:autogluon/chronos-2,0.3207960505583401,0.31910653729540117,1.0,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s06_c512h256,chronos-2:autogluon/chronos-2,0.5332574981746602,0.708863718076606,0.7685546875,1024,256,1.2,1.13,0.04,0.0
phihigh_shall_gphalf_s06_c512h64,chronos-2:autogluon/chronos-2,0.3430396285258456,0.38921104600198453,0.9736328125,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s07_c512h1024,chronos-2:autogluon/chronos-2,0.7723242213532364,0.9883394791634519,0.6435546875,1024,256,2.5,2.34,0.15,0.0
phihigh_shall_gphalf_s07_c512h16,chronos-2:autogluon/chronos-2,0.3318505555041994,0.3123627925808137,1.0,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s07_c512h256,chronos-2:autogluon/chronos-2,0.5333931713585582,0.695586142960328,0.8017578125,1024,256,1.3,1.18,0.04,0.0
phihigh_shall_gphalf_s07_c512h64,chronos-2:autogluon/chronos-2,0.34426763983179787,0.38121996140210357,0.966796875,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpno_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7883023807891303,0.9902748902471248,0.6435546875,1024,256,2.6,2.44,0.15,0.0
phihigh_shall_gpno_s00_c512h16,chronos-2:autogluon/chronos-2,0.3311889565306759,0.31757307892399445,1.0,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpno_s00_c512h256,chronos-2:autogluon/chronos-2,0.5864035694597021,0.7324410526686499,0.783203125,1024,256,1.2,1.17,0.04,0.0
phihigh_shall_gpno_s00_c512h64,chronos-2:autogluon/chronos-2,0.36322000664875576,0.40159528789598475,0.9677734375,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpno_s01_c512h1024,chronos-2:autogluon/chronos-2,0.7776071894296239,0.9601894889732321,0.654296875,1024,256,2.5,2.29,0.15,0.0
phihigh_shall_gpno_s01_c512h16,chronos-2:autogluon/chronos-2,0.33958984312355356,0.3172426799153044,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpno_s01_c512h256,chronos-2:autogluon/chronos-2,0.5643500846651697,0.6945086801800481,0.798828125,1024,256,2.6,2.52,0.03,0.0
phihigh_shall_gpno_s01_c512h64,chronos-2:autogluon/chronos-2,0.3670459478482091,0.3935763631297442,0.9677734375,1024,256,0.9,0.83,0.02,0.0
phihigh_shall_gpno_s02_c512h1024,chronos-2:autogluon/chronos-2,0.7819179406065081,0.9482306535622601,0.685546875,1024,256,2.5,2.27,0.15,0.0
phihigh_shall_gpno_s02_c512h16,chronos-2:autogluon/chronos-2,0.33789134532553544,0.3089642098325235,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gpno_s02_c512h256,chronos-2:autogluon/chronos-2,0.5658191993297008,0.692493525299865,0.806640625,1024,256,1.3,1.19,0.04,0.0
phihigh_shall_gpno_s02_c512h64,chronos-2:autogluon/chronos-2,0.36322518499123546,0.38719016201614986,0.9658203125,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpno_s03_c512h1024,chronos-2:autogluon/chronos-2,0.7815448531362615,0.9545091731132422,0.662109375,1024,256,2.5,2.31,0.14,0.0
phihigh_shall_gpno_s03_c512h16,chronos-2:autogluon/chronos-2,0.3237880147956146,0.3108939702956624,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gpno_s03_c512h256,chronos-2:autogluon/chronos-2,0.5597345454037659,0.6996644894100703,0.8017578125,1024,256,1.3,1.19,0.04,0.0
phihigh_shall_gpno_s03_c512h64,chronos-2:autogluon/chronos-2,0.34979959448435827,0.38037568905277147,0.978515625,1024,256,0.9,0.82,0.01,0.0
phihigh_shall_gpno_s04_c512h1024,chronos-2:autogluon/chronos-2,0.7900945396336234,0.9797152921387349,0.6396484375,1024,256,2.6,2.43,0.15,0.0
phihigh_shall_gpno_s04_c512h16,chronos-2:autogluon/chronos-2,0.3348740438969152,0.3195791846119289,0.998046875,1024,256,0.8,0.74,0.01,0.0
phihigh_shall_gpno_s04_c512h256,chronos-2:autogluon/chronos-2,0.5737613024982968,0.7216661692839637,0.7841796875,1024,256,1.3,1.26,0.04,0.0
phihigh_shall_gpno_s04_c512h64,chronos-2:autogluon/chronos-2,0.3614349021567602,0.40167499220142794,0.958984375,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpno_s05_c512h1024,chronos-2:autogluon/chronos-2,0.768695844126025,0.9290271221636406,0.6591796875,1024,256,2.5,2.29,0.15,0.0
phihigh_shall_gpno_s05_c512h16,chronos-2:autogluon/chronos-2,0.32775449112972466,0.3116870695188974,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpno_s05_c512h256,chronos-2:autogluon/chronos-2,0.5664780211385616,0.6916482392312464,0.7998046875,1024,256,1.2,1.12,0.04,0.0
phihigh_shall_gpno_s05_c512h64,chronos-2:autogluon/chronos-2,0.35867525756151214,0.38723705312469203,0.970703125,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpno_s06_c512h1024,chronos-2:autogluon/chronos-2,0.7925858033958426,0.9742128834284729,0.6494140625,1024,256,2.5,2.31,0.15,0.0
phihigh_shall_gpno_s06_c512h16,chronos-2:autogluon/chronos-2,0.3313127664870674,0.31457764169327906,0.998046875,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gpno_s06_c512h256,chronos-2:autogluon/chronos-2,0.5796450000918665,0.7153081928029079,0.7939453125,1024,256,1.3,1.26,0.04,0.0
phihigh_shall_gpno_s06_c512h64,chronos-2:autogluon/chronos-2,0.3621574116499096,0.39424040517725445,0.9716796875,1024,256,0.9,0.84,0.01,0.0
phihigh_shall_gpno_s07_c512h1024,chronos-2:autogluon/chronos-2,0.774122539542117,0.9430312392143723,0.6533203125,1024,256,2.5,2.28,0.15,0.0
phihigh_shall_gpno_s07_c512h16,chronos-2:autogluon/chronos-2,0.3395577870368036,0.31338587303774523,0.99609375,1024,256,0.8,0.77,0.01,0.0
phihigh_shall_gpno_s07_c512h256,chronos-2:autogluon/chronos-2,0.5668050732678211,0.7031955887248718,0.7978515625,1024,256,2.6,2.54,0.04,0.0
phihigh_shall_gpno_s07_c512h64,chronos-2:autogluon/chronos-2,0.366168054103726,0.39397260689670616,0.97265625,1024,256,0.9,0.85,0.01,0.0
phihigh_shhalf_gpfull_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7339533016239643,0.9176329808870898,0.6572265625,1024,256,2.5,2.28,0.16,0.0
phihigh_shhalf_gpfull_s00_c512h16,chronos-2:autogluon/chronos-2,0.3384071911708015,0.31358316693956934,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gpfull_s00_c512h256,chronos-2:autogluon/chronos-2,0.5374423576971605,0.6695693231049075,0.802734375,1024,256,1.3,1.27,0.04,0.0
phihigh_shhalf_gpfull_s00_c512h64,chronos-2:autogluon/chronos-2,0.3466773788845087,0.37732407534211715,0.974609375,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gpfull_s01_c512h1024,chronos-2:autogluon/chronos-2,0.7509544825775681,0.9225658671976147,0.658203125,1024,256,2.6,2.39,0.15,0.0
phihigh_shhalf_gpfull_s01_c512h16,chronos-2:autogluon/chronos-2,0.326397142571792,0.31992396318354777,0.9970703125,1024,256,0.8,0.74,0.01,0.0
phihigh_shhalf_gpfull_s01_c512h256,chronos-2:autogluon/chronos-2,0.5423717640917102,0.6807953486090036,0.8125,1024,256,1.3,1.17,0.04,0.0
phihigh_shhalf_gpfull_s01_c512h64,chronos-2:autogluon/chronos-2,0.3441908752255105,0.37741823877141994,0.9814453125,1024,256,0.9,0.82,0.01,0.0
phihigh_shhalf_gpfull_s02_c512h1024,chronos-2:autogluon/chronos-2,0.7495493929017858,0.9463275890330891,0.634765625,1024,256,2.5,2.28,0.15,0.0
phihigh_shhalf_gpfull_s02_c512h16,chronos-2:autogluon/chronos-2,0.32477724557720344,0.3108512899211995,1.0,1024,256,0.8,0.74,0.01,0.0
phihigh_shhalf_gpfull_s02_c512h256,chronos-2:autogluon/chronos-2,0.5445530097011579,0.7053863540902298,0.78125,1024,256,1.2,1.12,0.04,0.0
phihigh_shhalf_gpfull_s02_c512h64,chronos-2:autogluon/chronos-2,0.3415772791649907,0.38003169395936093,0.9736328125,1024,256,0.9,0.82,0.01,0.0
phihigh_shhalf_gpfull_s03_c512h1024,chronos-2:autogluon/chronos-2,0.7823201470098874,0.9851090106845508,0.6064453125,1024,256,2.5,2.34,0.15,0.0
phihigh_shhalf_gpfull_s03_c512h16,chronos-2:autogluon/chronos-2,0.32246656804489604,0.3152105457392796,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gpfull_s03_c512h256,chronos-2:autogluon/chronos-2,0.5502539160405967,0.6838963187619536,0.798828125,1024,256,1.3,1.24,0.04,0.0
phihigh_shhalf_gpfull_s03_c512h64,chronos-2:autogluon/chronos-2,0.33749377317408,0.3812551014911376,0.9716796875,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gpfull_s04_c512h1024,chronos-2:autogluon/chronos-2,0.7422326965372921,0.9028877414439425,0.6650390625,1024,256,2.6,2.44,0.15,0.0
phihigh_shhalf_gpfull_s04_c512h16,chronos-2:autogluon/chronos-2,0.3285692386741706,0.30944455562392736,1.0,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gpfull_s04_c512h256,chronos-2:autogluon/chronos-2,0.5396339417411278,0.6626157845812168,0.806640625,1024,256,1.3,1.22,0.04,0.0
phihigh_shhalf_gpfull_s04_c512h64,chronos-2:autogluon/chronos-2,0.3401248979154857,0.3713776874352228,0.9794921875,1024,256,0.9,0.84,0.01,0.0
phihigh_shhalf_gpfull_s05_c512h1024,chronos-2:autogluon/chronos-2,0.7620130015123544,0.9423726295882174,0.642578125,1024,256,2.6,2.43,0.15,0.0
phihigh_shhalf_gpfull_s05_c512h16,chronos-2:autogluon/chronos-2,0.3283588669978563,0.3121665045723938,1.0,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gpfull_s05_c512h256,chronos-2:autogluon/chronos-2,0.545053729460873,0.6711825402754288,0.7939453125,1024,256,1.2,1.16,0.04,0.0
phihigh_shhalf_gpfull_s05_c512h64,chronos-2:autogluon/chronos-2,0.35211535598656424,0.38309032103443486,0.97265625,1024,256,2.4,2.32,0.01,0.0
phihigh_shhalf_gpfull_s06_c512h1024,chronos-2:autogluon/chronos-2,0.7760245199024352,1.011932663684885,0.595703125,1024,256,2.4,2.26,0.15,0.0
phihigh_shhalf_gpfull_s06_c512h16,chronos-2:autogluon/chronos-2,0.3342514683977582,0.3253128776185239,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gpfull_s06_c512h256,chronos-2:autogluon/chronos-2,0.5761555689588669,0.752791931906372,0.7578125,1024,256,1.4,1.29,0.05,0.0
phihigh_shhalf_gpfull_s06_c512h64,chronos-2:autogluon/chronos-2,0.3532345452650506,0.39874136024054224,0.9697265625,1024,256,0.9,0.84,0.01,0.0
phihigh_shhalf_gpfull_s07_c512h1024,chronos-2:autogluon/chronos-2,0.7425841601102958,0.9034508536119099,0.685546875,1024,256,2.5,2.27,0.15,0.0
phihigh_shhalf_gpfull_s07_c512h16,chronos-2:autogluon/chronos-2,0.3335035632889559,0.3085211377358253,0.998046875,1024,256,1.0,0.74,0.01,0.0
phihigh_shhalf_gpfull_s07_c512h256,chronos-2:autogluon/chronos-2,0.536702132336366,0.663784564894264,0.8125,1024,256,1.2,1.13,0.04,0.0
phihigh_shhalf_gpfull_s07_c512h64,chronos-2:autogluon/chronos-2,0.3495045527804755,0.37491779517460827,0.9736328125,1024,256,0.9,0.82,0.01,0.0
phihigh_shhalf_gphalf_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7682729933792727,1.002275092160137,0.6376953125,1024,256,2.4,2.26,0.15,0.0
phihigh_shhalf_gphalf_s00_c512h16,chronos-2:autogluon/chronos-2,0.3308106067999277,0.32206334943882065,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shhalf_gphalf_s00_c512h256,chronos-2:autogluon/chronos-2,0.523066800126177,0.6878714483513539,0.794921875,1024,256,1.2,1.17,0.04,0.0
phihigh_shhalf_gphalf_s00_c512h64,chronos-2:autogluon/chronos-2,0.34708331607942633,0.38842831087141927,0.970703125,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gphalf_s01_c512h1024,chronos-2:autogluon/chronos-2,0.7521302649056145,0.9959558602791002,0.6435546875,1024,256,2.6,2.41,0.16,0.0
phihigh_shhalf_gphalf_s01_c512h16,chronos-2:autogluon/chronos-2,0.3230376727110531,0.3175876077099995,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gphalf_s01_c512h256,chronos-2:autogluon/chronos-2,0.5154602723798651,0.676541581887781,0.791015625,1024,256,1.2,1.11,0.04,0.0
phihigh_shhalf_gphalf_s01_c512h64,chronos-2:autogluon/chronos-2,0.33331566551113334,0.3809086185380298,0.96484375,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gphalf_s02_c512h1024,chronos-2:autogluon/chronos-2,0.7421673915130079,0.9504223055908803,0.6552734375,1024,256,2.7,2.54,0.16,0.0
phihigh_shhalf_gphalf_s02_c512h16,chronos-2:autogluon/chronos-2,0.3241043700165254,0.31298873714828435,1.0,1024,256,0.8,0.8,0.01,0.0
phihigh_shhalf_gphalf_s02_c512h256,chronos-2:autogluon/chronos-2,0.5072892911997214,0.6572268286201779,0.828125,1024,256,1.4,1.3,0.04,0.0
phihigh_shhalf_gphalf_s02_c512h64,chronos-2:autogluon/chronos-2,0.33838029962323124,0.3801394540263866,0.9775390625,1024,256,0.9,0.88,0.02,0.0
phihigh_shhalf_gphalf_s03_c512h1024,chronos-2:autogluon/chronos-2,0.7607145642405182,1.0221108049645782,0.6376953125,1024,256,2.5,2.35,0.15,0.0
phihigh_shhalf_gphalf_s03_c512h16,chronos-2:autogluon/chronos-2,0.3166372971802114,0.31635610481377685,0.998046875,1024,256,1.9,0.76,1.06,0.0
phihigh_shhalf_gphalf_s03_c512h256,chronos-2:autogluon/chronos-2,0.5226071307504156,0.6966116201293173,0.7724609375,1024,256,1.4,1.3,0.04,0.0
phihigh_shhalf_gphalf_s03_c512h64,chronos-2:autogluon/chronos-2,0.32792076298747336,0.38086817577225063,0.9736328125,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gphalf_s04_c512h1024,chronos-2:autogluon/chronos-2,0.7662261869312457,1.0250494063329978,0.6064453125,1024,256,2.4,2.21,0.14,0.0
phihigh_shhalf_gphalf_s04_c512h16,chronos-2:autogluon/chronos-2,0.32894501423861106,0.3218808218683114,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shhalf_gphalf_s04_c512h256,chronos-2:autogluon/chronos-2,0.5334680397440799,0.7169058207747456,0.771484375,1024,256,1.3,1.24,0.04,0.0
phihigh_shhalf_gphalf_s04_c512h64,chronos-2:autogluon/chronos-2,0.34433511195528976,0.39205913052837793,0.974609375,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gphalf_s05_c512h1024,chronos-2:autogluon/chronos-2,0.7696683616880515,0.9995158044620487,0.61328125,1024,256,2.7,2.47,0.15,0.0
phihigh_shhalf_gphalf_s05_c512h16,chronos-2:autogluon/chronos-2,0.32184660293287065,0.3191123616143178,0.9990234375,1024,256,0.8,0.71,0.01,0.0
phihigh_shhalf_gphalf_s05_c512h256,chronos-2:autogluon/chronos-2,0.5337884984447638,0.69814832430191,0.7890625,1024,256,1.3,1.19,0.04,0.0
phihigh_shhalf_gphalf_s05_c512h64,chronos-2:autogluon/chronos-2,0.338803224134542,0.3875955092053517,0.9716796875,1024,256,0.8,0.78,0.01,0.0
phihigh_shhalf_gphalf_s06_c512h1024,chronos-2:autogluon/chronos-2,0.7665035372398602,1.0309076278052274,0.6240234375,1024,256,2.5,2.31,0.15,0.0
phihigh_shhalf_gphalf_s06_c512h16,chronos-2:autogluon/chronos-2,0.31140211177784227,0.3283203815458246,0.99609375,1024,256,0.8,0.75,0.01,0.0
phihigh_shhalf_gphalf_s06_c512h256,chronos-2:autogluon/chronos-2,0.5370658173103586,0.7220966348732993,0.7646484375,1024,256,1.2,1.17,0.04,0.0
phihigh_shhalf_gphalf_s06_c512h64,chronos-2:autogluon/chronos-2,0.3396512953868054,0.3999035424327532,0.9619140625,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gphalf_s07_c512h1024,chronos-2:autogluon/chronos-2,0.7407766172875402,0.9578249698840653,0.6640625,1024,256,2.5,2.34,0.17,0.0
phihigh_shhalf_gphalf_s07_c512h16,chronos-2:autogluon/chronos-2,0.3289094997115064,0.3118336573150121,0.998046875,1024,256,0.8,0.75,0.01,0.0
phihigh_shhalf_gphalf_s07_c512h256,chronos-2:autogluon/chronos-2,0.515188904722153,0.6715397944560051,0.8154296875,1024,256,1.2,1.16,0.04,0.0
phihigh_shhalf_gphalf_s07_c512h64,chronos-2:autogluon/chronos-2,0.3385743955397758,0.3761848887403111,0.9775390625,1024,256,0.9,0.83,0.01,0.0
phihigh_shhalf_gpno_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7754714018960658,0.945316734048293,0.6591796875,1024,256,2.5,2.32,0.16,0.0
phihigh_shhalf_gpno_s00_c512h16,chronos-2:autogluon/chronos-2,0.3363296928586761,0.31299233904377965,0.99609375,1024,256,0.8,0.79,0.01,0.0
phihigh_shhalf_gpno_s00_c512h256,chronos-2:autogluon/chronos-2,0.564939064733228,0.6964629919517585,0.8037109375,1024,256,1.2,1.17,0.04,0.0
phihigh_shhalf_gpno_s00_c512h64,chronos-2:autogluon/chronos-2,0.35910489524452327,0.3865047428556141,0.978515625,1024,256,0.9,0.84,0.01,0.0
phihigh_shhalf_gpno_s01_c512h1024,chronos-2:autogluon/chronos-2,0.7595269813500309,0.9255258409704922,0.673828125,1024,256,2.5,2.35,0.15,0.0
